index,psraid,sample,int_date,lang,usr,cregion,state,form,sex,q1,q3,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,bbhome3a,bbhome3b,bbhome3c,bbhome3d,bbhome3e,device1a,smart1,q4,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,act19,act87a,act87b,act137,q5a,q5b,q5c,q5d,q5e,q5f,date1a,date2a,date3a,date3b,date4a,date4b,date4c,date4d,date4e,date4f,game1,game2a,game2b,game2c,game2d,game2e,game2f,game3a,game3b,game4,emplnw,emptype1,emptype2,emptype3,stud,job1a,job1b,job1c,job1d,job1e,job1f,job2,job3a,job3b,job3c,job3d,job3e,job3f,job3g,job3h,job4,smjob1,smjob2a,smjob2b,smjob2c,smjob2d,smjob2e,smjob3,smjob4a,smjob4b,smjob4c,smjob4d,smjob4e,snsjob1a,snsjob1b,snsjob1c,snsjob2a,snsjob2b,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,weight,standwt
1038,201381,2,62815,2,R,4,53,1,1,1,2,1,1,4,2, , ,1,1,1,1,1, ,1, ,2,2,1,2,1,2,2,2,3,2,1,1,1,2,2,1, ,2,1,1,1, , , ,2,2,2,2,1,2,1,1,1,2,2,2,1,8,3,8,2,2,1, ,1,1,1, ,2,2,2,1,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,1,2,1,2,2,1,2,2,1,2,4,1,1,1,2,2,26,1,1,1,2,0,0,3,9,2,2, ,3,1,3,1,4, ,2,99362,3.45161290322581,1.10200920953112
1039,201383,2,62015,1,S,4,35,1,2,4,4,1,1,5,2, , ,1,2,1,2,1, ,1, ,2,9,1,1,1,1,2,1,3,2,1,1,1,2,1,2, ,2,2,1,1, , , ,1,2,1,1,1,2,1,2,2,1,2,2,1,8,8,3,8,1,1, ,3, , , ,3, , , , , , ,1,1,1,1,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,65,3,1,2, , , ,5, ,2,3,1,2,2, ,1,1, ,2,87937,2.70967741935484,0.865128725239381
1040,201386,2,62015,1,S,4,6,2,2,2,2,1,1,1,1,2, ,1,3,1,1,3, ,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1,2,2,1,1,2,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2, , , , , , , , , , , ,2,2,1,2,2,1,2,1,1,3,1,2,4,4,3,1,21,6,6,2, , , ,3,2,2,3,9,3,2, ,4,6, ,2,95621,7.16129032258065,2.28641163098979
1041,201394,2,62015,1,S,3,37,2,1,2,4,1,1,2,1,1,1,1,1,1,2,1, ,1, ,1,1,2,2,1,1,1,2,5,2,1,2,2,1,1, ,1,1, , , ,1,1,1,2,2,1,1,1,1,8,1,2,1,1,2,3,2,1,1,2,1,2,1,1,3,1, ,3,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,7,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,4,4,4,4,3,2,2,24,2,2,1,0,1,0,8, ,2,2, ,2,2, ,1,5, ,2,27837,1.93548387096774,0.6179490894567
1042,201396,2,62015,1,U,3,12,2,2,1,2,1,1,2,1,2, ,2,1,2,3,1, ,1, , , , , , , , , , ,1, , , , ,2, ,1,2, , , ,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,3,3,3,3,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,1,74,2,2,2, , , ,6, ,2,3,2,4,2, ,1,99, ,1,34236,1.19354838709677,0.381068605164965
1043,201397,2,62015,1,S,3,47,2,2,4,4,1,1,5,2, , ,1,1,1,1,1, ,2,2,1,1,1,2, ,2,2,2, ,2,1,2,1,2,1, ,1,1, , , ,2,2,2,1, ,1,1,1,1,2,1,1,2,1,2,3,3,3,3,1,2,2,2,1,3,2,4,3,4,4,4,4,4,4,1,1,1,1,2,1,1,1,2,7, , , , , , , , , , , , ,1,1,1,2,2,2,1,2,1,2,4,4,1,2,3,2,57,3,1,2, , , ,5, ,2,1, ,2,2, ,1,2, ,2,37814,3.09677419354839,0.988718543130721
1044,201398,2,62415,1,S,4,15,2,2,2,2,2,2, , , , ,2,3,2,2,2, ,1, ,2,2,1,1,1,2,2,2,1,2,2,1,1,1, , , , , , , ,2,2,2, ,2,2,2,2,1,2,1,1,2,2,8,8,8,8,8,8,8,2, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,72,5,1,2, , , ,3, ,2,4,8,3,2, ,3,1, ,2,96782,5.74193548387097,1.83324896538821
1045,201416,2,62715,1,S,2,55,2,1,1,2,1,1,1,1,2, ,1,1,1,2,1, ,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,3,2,3,3,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,5,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4,4,4,4,4,2,2,47,1,3,1,0,0,1,6, ,2,1, ,2,2, ,1,9, ,2,54915,2.29032258064516,0.731239755857095
1046,201425,2,71215,1,U,2,17,1,1,3,4,1,1,2,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,1, , , , ,1,1, ,1,1,1,1, , , ,1,1,1,1,1,2,1,1,1,2,1,8,1,2,2,1,2,2,1,2,1,1,1, ,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,7,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,4,4,4,1,2,2,24,6,2,2, , , ,6,2,2,2, ,4,2, ,1,6, ,1,60613,2.45161290322581,0.782735513311821
1047,201435,2,62015,1,U,3,48,1,1,2,3,1,1,2,2, , ,2,1,1,2,1, ,1, ,1,2,1,1,1,1,2,2,3,1, , , , ,1,1, ,1,1,1,1, , , ,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,3,2,1,2,2,2,3,1, ,3,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,4,4,4,4,3,2,3,19,6,2,2, , , ,3, ,2,2, ,4,1,1,1,8, ,2,78413,2.87096774193548,0.916624482694106
