"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Maninka","","Western Africa","Guinea,
Ivory Coast","1,733,000","Mande","Central Harlem","Medium","Residential"
"Maninka","","Western Africa","Guinea,
Ivory Coast","1,733,000","Mande","East New York","Medium","Residential"
"Maninka","","Western Africa","Guinea,
Ivory Coast","1,733,000","Mande","South Jamaica","Small","Residential"
"Maninka","","Western Africa","Guinea,
Ivory Coast","1,733,000","Mande","Concourse","Medium","Residential"
"Mano","Mano","Western Africa","Liberia,
Guinea","390,000","Mande","Park Hill","Smallest","Residential"
"Mapuche","Mapudungun","South America","Chile,
Argentina","258,410","Araucanian","East Midtown","Smallest","Community"
"Maranao","Mëranaw","Southeastern Asia","Philippines","866,000","Austronesian","Astoria","Smallest","Community"
"Maranao","Mëranaw","Southeastern Asia","Philippines","866,000","Austronesian","Woodside","Smallest","Residential"
"Marathi","मराठी","Southern Asia","India","95,312,800","Indo-European","Richmond Hill","Medium","Residential"
"Marathi","मराठी","Southern Asia","India","95,312,800","Indo-European","Laurence Harbor (NJ)","Small","Community"
"Marathi","मराठी","Southern Asia","India","95,312,800","Indo-European","Gramercy","Smallest","Community"
"Marchigiano","Marchizan","Southern Europe","Italy","900,000","Indo-European","New Haven (CT)","Small","Residential"
"Marka","Dafinkan","Western Africa","Burkina Faso,
Mali","185,800","Mande","Concourse","Smallest","Residential"
"Marma","Marma","Southern Asia","Bangladesh,
India","186,700","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Marshallese","","Micronesia","Marshall Islands","61,000","Austronesian","Murray Hill","Smallest","Community"
"Martinican Creole","Kréyòl Matinik","Caribbean","Martinique,
France","600,000","Indo-European","Prospect Lefferts Gardens","Smallest","Residential"
"Marwari","मारवाड़ी","Southern Asia","India","20,591,400","Indo-European","Auburndale","Medium","Residential"
"Masalit","Masarak","Northern Africa","Sudan,
Chad","440,000","Maban","Prospect Lefferts Gardens","Smallest","Residential"
"Matinecock","Matinecock","Northern America","United States","","Algic","Douglaston-Little Neck","Medium","Reviving"
"Mauritian Creole","Kreol Morisien","Eastern Africa","Mauritius","1,090,000","Indo-European","East Flatbush","Smallest","Residential"
"Mazahua","Jñatjo","Central America","Mexico","100,000","Otomanguean","Newark (NJ)","Smallest","Residential"
"Mazahua","Jñatjo","Central America","Mexico","100,000","Otomanguean","Corona","Smallest","Residential"
"Mazanderani","مازرونی","Southern Asia","Iran","2,340,000","Indo-European","Highland Park (NJ)","Smallest","Residential"
"Mazatec","En Ngixo","Central America","Mexico","220,000","Otomanguean","Corona","Smallest","Residential"
"Medumba","Medumba","Middle Africa","Cameroon","210,000","Atlantic-Congo","Belmont","Small","Residential"
"Meitei","ꯃꯤꯇꯩꯂꯣꯟ","Southern Asia","India,
Bangladesh","1,775,000","Sino-Tibetan","Flushing","Small","Residential"
"Memoni","","Southern Asia","Pakistan,
India","1,800,000","Indo-European","North New Hyde Park (NY)","Small","Residential"
"Mende","","Western Africa","Sierra Leone,
Liberia","1,976,000","Mande","Park Hill","Smallest","Residential"
"Mende","","Western Africa","Sierra Leone,
Liberia","1,976,000","Mande","Jamaica","Smallest","Residential"
"Mende","","Western Africa","Sierra Leone,
Liberia","1,976,000","Mande","Tremont","Small","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","Corona","Largest","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","Bushwick","Largest","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","East Harlem","Largest","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","Sunset Park","Largest","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","Elm Park","Large","Residential"
"Mexican Spanish","Español Mexicano","Central America","Mexico","126,200,000","Indo-European","Soundview","Largest","Residential"
"Mien","Iu Mienh","Southeastern Asia","China,
Vietnam","813,600","Hmong-Mien","Fordham","Smallest","Residential"
"Minangkabau","Baso Minangkabau","Southeastern Asia","Indonesia","6,463,000","Austronesian","Elmhurst","Small","Residential"
"Mingrelian","მარგალური","Western Asia","Georgia","345,530","Kartvelian","Bensonhurst","Smallest","Residential"
"Mixe","Ayuujk","Central America","Mexico","11,600","Otomanguean","Sunset Park","Smallest","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","Mott Haven","Medium","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","Bushwick","Small","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","Elm Park","Small","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","East Harlem","Small","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","Corona","Medium","Residential"
"Mixtec","Tu'un Savi","Central America","Mexico","500,934","Otomanguean","Sunset Park","Small","Residential"
"Mohawk","","Northern America","Canada,
United States","3,040","Iroquoian","Boerum Hill","Small","Residential"
"Mohican","","Northern America","United States","","Algic","Kent (CT)","Medium","Reviving"
"Mohican","","Northern America","United States","","Algic","Red Hook (NY)","Medium","Reviving"
"Mojave","Hamakhav","Northern America","United States","200","Cochimi-Yuman","Hamilton Heights","Smallest","Residential"
"Moldovan","Moldovenească","Eastern Europe","Moldova,
Romania","24,345,750","Indo-European","Sunnyside","Smallest","Residential"
"Moldovan","Moldovenească","Eastern Europe","Moldova,
Romania","24,345,750","Indo-European","Midwood","Small","Residential"
"Molisan","","Southern Europe","Italy","","Indo-European","Astoria","Small","Residential"
"Molisan","","Southern Europe","Italy","","Indo-European","Westerleigh","Small","Residential"
"Mon","","Southeastern Asia","Myanmar,
Thailand","851,000","Austroasiatic","Prospect Heights","Smallest","Community"
"Mongo","Mongo","Middle Africa","D.R. Congo","400,000","Atlantic-Congo","Central Harlem","Smallest","Residential"
"Monguor","Mongghul","Eastern Asia","China","152,000","Mongolic","Jackson Heights","Smallest","Residential"
"Montaukett","Montaukett","Northern America","United States","","Algic","Montauk (NY)","Medium","Historical"
"Montenegrin","Црногорски","Southern Europe","Montenegro,
Serbia","2,010,000","Indo-European","Astoria","Small","Residential"
"Montenegrin","Црногорски","Southern Europe","Montenegro,
Serbia","2,010,000","Indo-European","Ridgewood","Small","Residential"
"Montserrat Creole","Creole","Caribbean","Montserrat","7,600","Indo-European","Central Harlem","Smallest","Community"
"Moroccan Arabic","","Northern Africa","Morocco","30,500,000","Afro-Asiatic","Astoria","Medium","Residential"
"Moroccan Arabic","","Northern Africa","Morocco","30,500,000","Afro-Asiatic","Bay Ridge","Medium","Residential"
"Moroccan Arabic","","Northern Africa","Morocco","30,500,000","Afro-Asiatic","Morris Park","Small","Residential"
"Moroccan Judeo-Arabic","","Northern Africa","Morocco,
Israel","","Afro-Asiatic","Homecrest","Small","Residential"
"Moroccan Judeo-Arabic","","Northern Africa","Morocco,
Israel","","Afro-Asiatic","Forest Hills","Small","Residential"
"Moroccan Judeo-Arabic","","Northern Africa","Morocco,
Israel","","Afro-Asiatic","Lenox Hill","Smallest","Residential"
"Mossi","Mòoré","Western Africa","Burkina Faso,
Mali","7,829,300","Atlantic-Congo","Bedford-Stuyvesant","Smallest","Residential"
"Mossi","Mòoré","Western Africa","Burkina Faso,
Mali","7,829,300","Atlantic-Congo","Newark (NJ)","Small","Residential"
"Mossi","Mòoré","Western Africa","Burkina Faso,
Mali","7,829,300","Atlantic-Congo","Melrose","Small","Residential"
"Mossi","Mòoré","Western Africa","Burkina Faso,
Mali","7,829,300","Atlantic-Congo","Central Harlem","Small","Residential"
"Motu","Motu","Melanesia","Papua New Guinea","39,000","Austronesian","Valley Stream (NY)","Smallest","Residential"
"Mugu","མུ་གུམ་སྐད་","Southern Asia","Nepal,
India","7,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Munda","মুন্ডা‎","Southern Asia","India","486,000","Austroasiatic","Jamaica","Smallest","Residential"
"Myene","Omyene","Middle Africa","Gabon","45,000","Atlantic-Congo","Kensington","Smallest","Residential"
"Māori","Te Reo Māori","Australia and New Zealand","New Zealand","159,700","Austronesian","NoMad","Smallest","Community"
"Nachhiring","","Southern Asia","Nepal","10,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Nagamese","Nagamese","Southern Asia","India","","Indo-European","Edison (NJ)","Small","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","Sunset Park","Medium","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","New Haven (CT)","Medium","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","East Harlem","Small","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","Corona","Medium","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","Mott Haven","Medium","Residential"
"Nahuatl","Nahuatl","Central America","Mexico","1,740,000","Uto-Aztecan","Elm Park","Small","Residential"
"Nar-Phu","","Southern Asia","Nepal","600","Sino-Tibetan","Sunnyside","Smallest","Residential"
"Naso","Teribe","Central America","Panama,
Costa Rica","3,300","Chibchan","Flatlands","Smallest","Residential"
"Native American English","Native American English","Northern America","United States,
Canada","","Indo-European","Chinatown","Largest","Community"
"Nauruan","Dorerin Naoero","Micronesia","Nauru","10,300","Austronesian","Murray Hill","Smallest","Community"
"Navajo","Diné Bizaad","Northern America","United States","167,000","Athabaskan-Eyak-Tlingit","Chinatown","Smallest","Community"
"Ndebele","IsiNdebele","Southern Africa","Zimbabwe,
Botswana","1,634,800","Atlantic-Congo","Midtown","Smallest","Community"
"Ndebele","IsiNdebele","Southern Africa","Zimbabwe,
Botswana","1,634,800","Atlantic-Congo","Bedford-Stuyvesant","Smallest","Residential"
"Neapolitan","Nnapulitano","Southern Europe","Italy","5,700,000","Indo-European","Little Italy","Medium","Historical"
"Neapolitan","Nnapulitano","Southern Europe","Italy","5,700,000","Indo-European","Williamsburg","Medium","Residential"
"Neapolitan","Nnapulitano","Southern Europe","Italy","5,700,000","Indo-European","East Harlem","Large","Historical"
"Neapolitan","Nnapulitano","Southern Europe","Italy","5,700,000","Indo-European","Morris Park","Small","Residential"
"Neo-Mandaic","","Southern Asia","Iran,
Iraq","100","Afro-Asiatic","Utopia","Smallest","Residential"
"Nepali","नेपाली","Southern Asia","Nepal,
India","20,980,000","Indo-European","Jackson Heights","Medium","Residential"
"Nepali","नेपाली","Southern Asia","Nepal,
India","20,980,000","Indo-European","Kingsbridge","Small","Residential"
"Nepali","नेपाली","Southern Asia","Nepal,
India","20,980,000","Indo-European","Flatbush","Small","Residential"
"Nepali","नेपाली","Southern Asia","Nepal,
India","20,980,000","Indo-European","Ridgewood","Medium","Residential"
"New Zealand English","Kiwi English","Australia and New Zealand","New Zealand","4,886,000","Indo-European","SoHo","Medium","Residential"
"Newari","","Southern Asia","Nepal,
India","879,600","Sino-Tibetan","Jackson Heights","Medium","Residential"
"Newfoundland English","Newfoundland English","Northern America","Canada","521,542","Indo-European","Park Slope","Medium","Historical"
"Nigerian English","Pidgin","Western Africa","Nigeria","","Indo-European","East New York","Large","Residential"
"Ningbo","宁波话","Eastern Asia","China","","Sino-Tibetan","Williamsburg","Small","Residential"
"Noakhailla","নোয়াখালী","Southern Asia","Bangladesh","","Indo-European","Kensington","Medium","Residential"
"Nones","Nones","Southern Europe","Italy","31,000","Indo-European","Ridgewood","Small","Residential"
"Nones","Nones","Southern Europe","Italy","31,000","Indo-European","Chelsea","Small","Historical"
"North Frisian","Fering","Western Europe","Germany","10,000","Indo-European","Valley Stream (NY)","Smallest","Community"
"North Levantine Arabic","","Western Asia","Syria,
Lebanon","24,200,000","Afro-Asiatic","Financial District","Medium","Historical"
"North Levantine Arabic","","Western Asia","Syria,
Lebanon","24,200,000","Afro-Asiatic","Bay Ridge","Large","Residential"
"North Levantine Arabic","","Western Asia","Syria,
Lebanon","24,200,000","Afro-Asiatic","Yonkers (NY)","Medium","Residential"
"North Levantine Arabic","","Western Asia","Syria,
Lebanon","24,200,000","Afro-Asiatic","Astoria","Medium","Residential"
"North Levantine Arabic","","Western Asia","Syria,
Lebanon","24,200,000","Afro-Asiatic","Brooklyn Heights","Small","Residential"
"Northeastern Mandarin Chinese","东北话","Eastern Asia","China","","Sino-Tibetan","Flushing","Medium","Residential"
"Northern Fujianese","闽北语","Eastern Asia","China","2,191,000","Sino-Tibetan","Chinatown","Medium","Residential"
"Northern Fujianese","闽北语","Eastern Asia","China","2,191,000","Sino-Tibetan","Bensonhurst","Medium","Residential"
"Northern Sotho","Sepedi","Southern Africa","Lesotho,
South Africa","13,524,520","Atlantic-Congo","Central Harlem","Smallest","Residential"
"Northern Thai","ภาษาถิ่นพายัพ","Southeastern Asia","Thailand,
Laos","6,029,500","Tai-Kadai","Elmhurst","Small","Residential"
"Norwegian","Norsk","Northern Europe","Norway","5,000,000","Indo-European","Eltingville","Small","Residential"
"Norwegian","Norsk","Northern Europe","Norway","5,000,000","Indo-European","Financial District","Smallest","Historical"
"Norwegian","Norsk","Northern Europe","Norway","5,000,000","Indo-European","Bay Ridge","Medium","Residential"
"Nubian","","Northern Africa","Sudan","","Nubian","Kensington","Smallest","Residential"
"Nubri","ནུབ་རི་སྐད་","Southern Asia","Nepal","2,000","Sino-Tibetan","Elmhurst","Small","Residential"
"Nuer","Naath","Eastern Africa","South Sudan,
Ethiopia","896,280","Nilotic","East Midtown","Smallest","Community"
"Occitan","Lenga D'Òc","Southern Europe","Italy,
France","","Indo-European","Upper East Side","Small","Historical"
"Odia","ଓଡ଼ିଆ","Southern Asia","India","37,091,520","Indo-European","Murray Hill-QNS","Small","Residential"
"Ojibwe","Anashinaabemowin","Northern America","Canada,
United States","25,900","Algic","Williamsburg","Smallest","Residential"
"Ojibwe","Anashinaabemowin","Northern America","Canada,
United States","25,900","Algic","Crown Heights","Smallest","Residential"
"Okinawan","うちなーぐち","Eastern Asia","Japan","984,000","Japonic","Douglaston-Little Neck","Smallest","Residential"
"Oromo","Afan Oromoo","Eastern Africa","Ethiopia,
Kenya","17,465,900","Afro-Asiatic","Central Harlem","Small","Residential"
"Oshiwambo","Oshiwambo","Middle Africa","Angola,
Namibia","1,481,000","Atlantic-Congo","Murray Hill","Smallest","Community"
"Ossetian","","Eastern Europe","Russia,
Syria","599,250","Indo-European","Brighton Beach","Smallest","Residential"
"Otomi","Hñähñu","Central America","Mexico","88,500","Otomanguean","Mott Haven","Small","Residential"
"Otomi","Hñähñu","Central America","Mexico","88,500","Otomanguean","Corona","Small","Residential"
"P'urhépecha","P'urhépecha","Central America","Mexico","55,000","Tarascan","East Harlem","Smallest","Residential"
"Pa'O","ပအိုဝ်ႏ","Southeastern Asia","Myanmar","560,000","Sino-Tibetan","Glendale","Smallest","Community"
"Pakistani English","Pakistani English","Southern Asia","Pakistan","","Indo-European","Flatbush","Large","Residential"
"Pakistani English","Pakistani English","Southern Asia","Pakistan","","Indo-European","Jackson Heights","Large","Residential"
"Palatine German","Pälzisch","Western Europe","Germany,
France","400,000","Indo-European","Governors Island","Medium","Historical"
"Palauan","A Tekoi Er A Belau","Micronesia","Palau","18,140","Austronesian","East Midtown","Smallest","Community"
"Palembang","Musi","Southeastern Asia","Indonesia","3,105,000","Austronesian","Elmhurst","Smallest","Residential"
"Pali","पालि","Southern Asia","Sri Lanka,
Thailand","","Indo-European","Queens Village","Small","Liturgical"
"Pali","पालि","Southern Asia","Sri Lanka,
Thailand","","Indo-European","Elm Park","Small","Liturgical"
"Pampangan","Kapampangan","Southeastern Asia","Philippines","2,049,670","Austronesian","Woodside","Small","Residential"
"Pana","Pana","Western Africa","Mali,
Burkina Faso","8,000","Atlantic-Congo","Parkchester","Smallest","Residential"
"Panamanian English","Panamanian English","Central America","Panama","","Indo-European","Flatbush","Medium","Residential"
"Panamanian Spanish","Español Panameño","Central America","Panama","2,500,000","Indo-European","Flatbush","Medium","Residential"
"Pangasinan","Pangasinan","Southeastern Asia","Philippines","1,243,660","Austronesian","Woodside","Smallest","Residential"
"Pangasinan","Pangasinan","Southeastern Asia","Philippines","1,243,660","Austronesian","East Village","Smallest","Residential"
"Papantla Totonac","Totonako","Central America","Mexico","80,000","Totonacan","Elm Park","Smallest","Residential"
"Papiamento","Papiamentu","Caribbean","Curaçao,
Aruba","341,300","Indo-European","Flatbush","Smallest","Residential"
"Paraguayan Spanish","Español Paraguayo","South America","Paraguay","6,000,000","Indo-European","White Plains (NY)","Small","Residential"
"Paraguayan Spanish","Español Paraguayo","South America","Paraguay","6,000,000","Indo-European","Maspeth","Small","Residential"
"Pashto","پښتو","Southern Asia","Pakistan,
Afghanistan","38,249,700","Indo-European","Hillcrest","Medium","Residential"
"Pashto","پښتو","Southern Asia","Pakistan,
Afghanistan","38,249,700","Indo-European","Kensington","Small","Residential"
"Pashto","پښتو","Southern Asia","Pakistan,
Afghanistan","38,249,700","Indo-European","Hicksville (NY)","Small","Residential"
"Persian","فارسی","Southern Asia","Iran","61,782,560","Indo-European","Jamaica","Medium","Residential"
"Persian","فارسی","Southern Asia","Iran","61,782,560","Indo-European","Great Neck (NY)","Medium","Residential"
"Persian","فارسی","Southern Asia","Iran","61,782,560","Indo-European","Financial District","Small","Residential"
"Persian","فارسی","Southern Asia","Iran","61,782,560","Indo-European","Midwood","Medium","Residential"
"Peruvian Quechua","Runasimi","South America","Peru","7,735,620","Quechuan","Woodside","Small","Residential"
"Peruvian Quechua","Runasimi","South America","Peru","7,735,620","Quechuan","Park Slope","Smallest","Residential"
"Peruvian Spanish","Español Peruano","South America","Peru","31,990,000","Indo-European","Paterson (NJ)","Medium","Residential"
"Peruvian Spanish","Español Peruano","South America","Peru","31,990,000","Indo-European","Jackson Heights","Medium","Residential"
"Philippine English","Philippine English","Southeastern Asia","Philippines","","Indo-European","East Village","Medium","Residential"
"Philippine English","Philippine English","Southeastern Asia","Philippines","","Indo-European","Woodside","Largest","Residential"
"Piedmontese","Piemontèis","Southern Europe","Italy,
Argentina","700,000","Indo-European","West Village","Smallest","Historical"
"Pijin","Pijin","Melanesia","Solomon Islands","331,400","Indo-European","Murray Hill","Smallest","Community"
"Pochury","Pochury","Southern Asia","India","21,654","Sino-Tibetan","Bridgewater (NJ)","Smallest","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","Greenpoint","Large","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","Riverhead (NY)","Medium","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","Linden (NJ)","Large","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","Maspeth","Large","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","Sunset Park","Small","Residential"
"Polish","Polski","Eastern Europe","Poland","40,378,030","Indo-European","East Village","Medium","Residential"
"Pontic Greek","Ποντιακά","Southern Europe","Greece,
Turkey","778,000","Indo-European","Norwalk (CT)","Medium","Residential"
"Pontic Greek","Ποντιακά","Southern Europe","Greece,
Turkey","778,000","Indo-European","Astoria","Medium","Residential"
"Poqomchi'","Poqomchi'","Central America","Guatemala","92,200","Mayan","Fair Lawn (NJ)","Smallest","Residential"
"Portuguese","Português","Southern Europe","Portugal,
Angola","234,168,620","Indo-European","Jamaica","Medium","Residential"
"Portuguese","Português","Southern Europe","Portugal,
Angola","234,168,620","Indo-European","Financial District","Smallest","Historical"
"Portuguese","Português","Southern Europe","Portugal,
Angola","234,168,620","Indo-European","Newark (NJ)","Medium","Residential"
"Portuguese","Português","Southern Europe","Portugal,
Angola","234,168,620","Indo-European","Carroll Gardens","Medium","Residential"
"Pothwari","پوٹھواری","Southern Asia","Pakistan,
India","","Indo-European","Kensington","Smallest","Residential"
"Puerto Rican Sign Language","Puerto Rican Sign Language","Caribbean","United States","",,"Upper East Side","Smallest","Community"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Mott Haven","Largest","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Bridgeport (CT)","Large","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","East Harlem","Largest","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Ridgewood","Largest","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Williamsburg","Largest","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Lower East Side","Large","Residential"
"Puerto Rican Spanish","Español Puertorriqueño","Caribbean","United States","3,194,000","Indo-European","Passaic (NJ)","Large","Residential"
"Pugliese (Barese)","Barese","Southern Europe","Italy","","Indo-European","Little Italy","Smallest","Historical"
"Pugliese (Bitettese)","Bitettese","Southern Europe","Italy","","Indo-European","Flatlands","Smallest","Community"
"Pugliese (Casamassimese)","Casamassimese","Southern Europe","Italy","","Indo-European","Jersey City (NJ)","Smallest","Residential"
"Pugliese (Conversanese)","Conversanese","Southern Europe","Italy","","Indo-European","Whitestone","Small","Residential"
"Pugliese (Garganico)","Garganico","Southern Europe","Italy","","Indo-European","Belmont","Medium","Residential"
"Pugliese (Grumese)","Grumese","Southern Europe","Italy","","Indo-European","Throgs Neck","Smallest","Residential"
"Pugliese (Molese)","Molese","Southern Europe","Italy","","Indo-European","Carroll Gardens","Small","Residential"
"Pugliese (Molese)","Molese","Southern Europe","Italy","","Indo-European","Oakwood","Small","Residential"
"Pugliese (Molfettese)","Molfettese","Southern Europe","Italy","","Indo-European","Hoboken (NJ)","Medium","Residential"
"Pugliese (Palese)","Palese","Southern Europe","Italy","","Indo-European","Howard Beach","Smallest","Residential"
"Punjabi","","Southern Asia","India,
Pakistan","125,000,000","Indo-European","Midwood","Medium","Residential"
"Punjabi","","Southern Asia","India,
Pakistan","125,000,000","Indo-European","Jersey City (NJ)","Medium","Residential"
"Punjabi","","Southern Asia","India,
Pakistan","125,000,000","Indo-European","Bellerose","Medium","Residential"
"Punjabi","","Southern Asia","India,
Pakistan","125,000,000","Indo-European","Richmond Hill","Large","Residential"
"Punjabi","","Southern Asia","India,
Pakistan","125,000,000","Indo-European","East Village","Smallest","Community"
"Purgi","པུ་རིག་སྐད་","Southern Asia","India","93,500","Sino-Tibetan","Jamaica","Smallest","Residential"
"Q'anjob'al","Q'anjob'al","Central America","Guatemala","148,340","Mayan","Mott Haven","Smallest","Residential"
"Q'eqchi'","Q'eqchi'","Central America","Guatemala,
Belize","733,600","Mayan","Kingston (NY)","Small","Residential"
"Quebec French","Québécois","Northern America","Canada","8,485,000","Indo-European","Upper East Side","Medium","Historical"
"Quiripi","Wampano","Northern America","United States","","Algic","New Haven (CT)","Large","Reviving"
"Rakhine","ရခိုင်ဘာသာ","Southeastern Asia","Myanmar,
Bangladesh","2,020,000","Sino-Tibetan","Prospect Heights","Smallest","Community"
"Rakhine","ရခိုင်ဘာသာ","Southeastern Asia","Myanmar,
Bangladesh","2,020,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Ramaluk","ར་མ་ལུག་སྐད་","Southern Asia","Nepal,
India,
China","","Sino-Tibetan","Jackson Heights","Large","Residential"
"Rangpuri","রংপুরী","Southern Asia","Bangladesh,
India","10,801,000","Indo-European","Ozone Park","Small","Residential"
"Rashti","رشتی","Southern Asia","Iran","","Indo-European","Upper East Side","Smallest","Residential"
"Romagnol","Sammarinese","Southern Europe","San Marino","","Indo-European","Astoria","Smallest","Community"
"Romani","Romani","Southern Europe","Hungary,
Romania,
Ukraine","1,547,690","Indo-European","Lower East Side","Medium","Historical"
"Romani","Romani","Southern Europe","Hungary,
Romania,
Ukraine","1,547,690","Indo-European","Ridgewood","Small","Residential"
"Romanian","Română","Eastern Europe","Romania,
Moldova","24,345,750","Indo-European","Sunnyside","Medium","Residential"
"Romanian","Română","Eastern Europe","Romania,
Moldova","24,345,750","Indo-European","Ridgewood","Medium","Residential"
"Romanian","Română","Eastern Europe","Romania,
Moldova","24,345,750","Indo-European","Upper West Side","Medium","Residential"
"Romansh","Rumantsch","Western Europe","Switzerland","40,000","Indo-European","Sheepshead Bay","Smallest","Residential"
"Rushani","","Central Asia","Tajikistan,
Afghanistan","18,000","Indo-European","Rego Park","Smallest","Residential"
"Rushani","","Central Asia","Tajikistan,
Afghanistan","18,000","Indo-European","Mapleton","Smallest","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","Brighton Beach","Largest","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","Midland Beach","Large","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","Rego Park","Large","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","Sea Cliff (NY)","Small","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","Upper East Side","Large","Residential"
"Russian","Русский","Eastern Europe","Russia,
Ukraine","258,227,760","Indo-European","North Riverdale","Medium","Residential"
"Rusyn","Русиньскый","Eastern Europe","Ukraine,
Slovakia","82,960","Indo-European","East Village","Small","Community"
"Rusyn","Русиньскый","Eastern Europe","Ukraine,
Slovakia","82,960","Indo-European","Woodland Park (NJ)","Small","Residential"
"Rusyn","Русиньскый","Eastern Europe","Ukraine,
Slovakia","82,960","Indo-European","Williamsburg","Smallest","Residential"
"Rusyn","Русиньскый","Eastern Europe","Ukraine,
Slovakia","82,960","Indo-European","Manville (NJ)","Small","Residential"
"Sami","Sámi","Northern Europe","Norway,
Sweden","25,700","Uralic","Sunset Park","Smallest","Historical"
"Samoan","Gagana Fa'a Sāmoa","Polynesia","Samoa,
United States","415,720","Austronesian","Murray Hill","Smallest","Community"
"Sampang","","Southern Asia","Nepal","18,300","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Sandwippa","সন্দ্বীপ্পা","Southern Asia","Bangladesh","","Indo-European","Kensington","Medium","Residential"
"Sango","Yângâ Tî Sängö","Middle Africa","Central African Republic","5,199,000","Atlantic-Congo","East Midtown","Smallest","Community"
"Sangsari","سنگسری","Southern Asia","Iran","36,000","Indo-European","Kew Gardens","Smallest","Residential"
"Sangtam","Sangtam","Southern Asia","India","76,000","Sino-Tibetan","Edison (NJ)","Smallest","Residential"
"Sanskrit","संस्कृतम्","Southern Asia","India,
Nepal","5,007,800","Indo-European","Ozone Park","Medium","Liturgical"
"Sanskrit","संस्कृतम्","Southern Asia","India,
Nepal","5,007,800","Indo-European","Murray Hill-QNS","Medium","Liturgical"
"Santali","ᱥᱟᱱᱛᱟᱲᱤ","Southern Asia","India,
Nepal","7,620,280","Indo-European","Jamaica","Smallest","Residential"
"Saraiki","","Southern Asia","Pakistan,
Afghanistan","20,009,000","Indo-European","Midwood","Small","Residential"
"Saramaccan Creole","Saamáka","South America","Suriname","90,000","Indo-European","Queens Village","Smallest","Residential"
"Sasak","Sasak","Southeastern Asia","Indonesia","2,100,000","Austronesian","Elmhurst","Smallest","Residential"
"Sasak","Sasak","Southeastern Asia","Indonesia","2,100,000","Austronesian","Astoria","Smallest","Community"
"Scots","Scots","Northern Europe","United Kingdom","1,599,200","Indo-European","SoHo","Small","Historical"
"Scots","Scots","Northern Europe","United Kingdom","1,599,200","Indo-European","Kearny (NJ)","Small","Residential"
"Scottish Gaelic","Gàidhlig","Northern Europe","United Kingdom","60,130","Indo-European","Midtown","Smallest","Residential"
"Seke","","Southern Asia","Nepal","700","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Seke","","Southern Asia","Nepal","700","Sino-Tibetan","Flatbush","Small","Residential"
