"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Burmese","မြန်မာဘာသာ","Southeastern Asia","Myanmar","42,912,350","Sino-Tibetan","Prospect Heights","Small","Community"
"Burmese","မြန်မာဘာသာ","Southeastern Asia","Myanmar","42,912,350","Sino-Tibetan","Elmhurst","Medium","Residential"
"Burushaski","Burushaski","Southern Asia","Pakistan","112,000","Burushaski","Floral Park (NY)","Smallest","Residential"
"Buryat","","Eastern Europe","Russia","219,000","Mongolic","Brighton Beach","Small","Residential"
"Bzedukh","Бжъэдыгъубзэ","Western Asia","Turkey,
Russia","","Abkhaz-Adyge","Wayne (NJ)","Smallest","Residential"
"Bété","Bété","Western Africa","Ivory Coast","500,000","Atlantic-Congo","East New York","Smallest","Residential"
"Calabrese","Calabrese","Southern Europe","Italy","","Indo-European","Belmont","Small","Residential"
"Calabrese","Calabrese","Southern Europe","Italy","","Indo-European","Little Italy","Small","Historical"
"Calabrese (Gioiosano)","Calabrese","Southern Europe","Italy","","Indo-European","Bensonhurst","Medium","Residential"
"Calabrese (Sanfilese)","Calabrese","Southern Europe","Italy","","Indo-European","Port Chester (NY)","Medium","Residential"
"Cameroonian Pidgin English","Kamtok","Middle Africa","Cameroon","12,000,000","Indo-European","Tremont","Small","Residential"
"Camfranglais","Camfranglais","Middle Africa","Cameroon","","Indo-European","Tremont","Small","Residential"
"Canadian English","Canadian English","Northern America","Canada","37,590,000","Indo-European","East Midtown","Medium","Community"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","Flushing","Large","Residential"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","New Springville","Small","Residential"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","Glen Rock (NJ)","Large","Residential"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","Sunset Park","Largest","Residential"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","Bensonhurst","Largest","Residential"
"Cantonese","廣東話","Eastern Asia","China,
Hong Kong","73,538,610","Sino-Tibetan","Chinatown","Large","Residential"
"Cape Verdean Creole","Kriolu","Western Africa","Cape Verde Islands","1,191,000","Indo-European","Bridgeport (CT)","Small","Residential"
"Cape Verdean Creole","Kriolu","Western Africa","Cape Verde Islands","1,191,000","Indo-European","Newark (NJ)","Smallest","Residential"
"Caribbean Hindustani","Caribbean Bhojpuri","Caribbean","Suriname,
Trinidad and Tobago,
Guyana","208,100","Indo-European","South Ozone Park","Smallest","Residential"
"Castilian Spanish","Castellano","Southern Europe","Spain","2,408,000","Indo-European","Brooklyn Heights","Small","Historical"
"Castilian Spanish","Castellano","Southern Europe","Spain","2,408,000","Indo-European","West Village","Medium","Community"
"Castilian Spanish","Castellano","Southern Europe","Spain","2,408,000","Indo-European","Washington Heights","Medium","Residential"
"Catalan","Català","Southern Europe","Spain,
France","9,153,310","Indo-European","Murray Hill","Small","Community"
"Cebuano","Sugbuanon","Southeastern Asia","Philippines","15,942,480","Austronesian","Woodside","Medium","Residential"
"Cebuano","Sugbuanon","Southeastern Asia","Philippines","15,942,480","Austronesian","East Village","Smallest","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Brentwood (NY)","Large","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Bushwick","Medium","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Hunts Point","Large","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Jamaica","Large","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Brewster (NY)","Small","Residential"
"Central American Spanish","Español Centroamericano","Central America","Honduras,
Guatemala,
El Salvador,
Nicaragua,
Costa Rica","44,530,000","Indo-European","Far Rockaway","Medium","Residential"
"Central Malay","Besemah","Southeastern Asia","Indonesia","400,000","Austronesian","East Village","Small","Residential"
"Chadian Arabic","","Middle Africa","Chad","1,757,300","Afro-Asiatic","Murray Hill","Smallest","Community"
"Chak","Chak","Southern Asia","Bangladesh,
Myanmar","4,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Chakhar Mongolian","Цахар","Eastern Asia","China,
Mongolia","","Mongolic","Sunset Park","Smallest","Residential"
"Chakma","Changma Vaj","Southern Asia","Bangladesh,
India","378,000","Indo-European","Jackson Heights","Smallest","Residential"
"Chaldean Neo-Aramaic","ܣܘܼܪܲܝܬ","Western Asia","Iraq","241,610","Afro-Asiatic","Bay Ridge","Smallest","Residential"
"Chamling","","Southern Asia","Nepal","77,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Chamorro","Chamoru","Micronesia","United States","64,300","Austronesian","East Midtown","Smallest","Community"
"Changki","Changki","Southern Asia","India","","Sino-Tibetan","East Village","Smallest","Residential"
"Changzhounese","常州话","Eastern Asia","China","81,501,290","Sino-Tibetan","Flushing","Small","Residential"
"Chantyal","छन्त्याल","Southern Asia","Nepal","4,750","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Chaouia","ⵜⴰⵛⴰⵡⵉⵜ","Northern Africa","Algeria,
Tunisia","2,178,100","Afro-Asiatic","Astoria","Smallest","Residential"
"Chavacano","Chavacano","Southeastern Asia","Philippines","431,000","Indo-European","Woodside","Smallest","Residential"
"Chechen","Нохчийн","Eastern Europe","Russia","1,502,350","Nakh-Daghestanian","Paterson (NJ)","Smallest","Residential"
"Chechen","Нохчийн","Eastern Europe","Russia","1,502,350","Nakh-Daghestanian","Brighton Beach","Smallest","Residential"
"Cherepon","Cherepon","Western Africa","Ghana","132,000","Atlantic-Congo","Mount Hope","Smallest","Residential"
"Cherokee","ᏣᎳᎩ","Northern America","United States","1,520","Iroquoian","Chinatown","Smallest","Community"
"Chewa","Chinyanja","Eastern Africa","Malawi,
Zambia","9,690,520","Atlantic-Congo","East Midtown","Smallest","Community"
"Chiga","Rukiga","Eastern Africa","Uganda","1,600,000","Atlantic-Congo","Roosevelt Island","Smallest","Residential"
"Chilean Spanish","Español Chileno","South America","Chile","18,729,160","Indo-European","East Elmhurst","Small","Residential"
"Chinantec","Tsa Jujmi","Central America","Mexico","130,000","Otomanguean","Elm Park","Smallest","Residential"
"Chinantec","Tsa Jujmi","Central America","Mexico","130,000","Otomanguean","Borough Park","Smallest","Residential"
"Chiricahua Apache","Ndee Biyáti'","Northern America","United States","1,500","Athabaskan-Eyak-Tlingit","Crown Heights","Smallest","Residential"
"Chittagonian","চাটগাঁইয়া","Southern Asia","Bangladesh","13,000,000","Indo-European","Kensington","Medium","Residential"
"Chocha-ngacha","ཁྱོད་ཅ་ང་ཅ་ཁ་","Southern Asia","Bhutan","20,000","Sino-Tibetan","Sunnyside","Smallest","Residential"
"Chuj","Chuj","Central America","Guatemala","61,630","Mayan","Kingsbridge","Smallest","Residential"
"Church Slavonic","црькъвьнословѣньскъ","Eastern Europe","Russia","","Indo-European","East New York","Smallest","Liturgical"
"Church Slavonic","црькъвьнословѣньскъ","Eastern Europe","Russia","","Indo-European","Upper East Side","Medium","Liturgical"
"Chuukese","Chuuk","Micronesia","Micronesia","100,090","Austronesian","Murray Hill","Smallest","Community"
"Chuvash","Чӑвашла","Eastern Europe","Russia","1,282,270","Turkic","Brighton Beach","Smallest","Residential"
"Cilentano","Cilendano","Southern Europe","Italy","250,000","Indo-European","Whitestone","Small","Residential"
"Cilentano","Cilendano","Southern Europe","Italy","250,000","Indo-European","Williamsburg","Small","Residential"
"Cilentano","Cilendano","Southern Europe","Italy","250,000","Indo-European","Gravesend","Small","Residential"
"Classical Arabic","الفصحى","Western Asia","Egypt,
Yemen","","Afro-Asiatic","East Harlem","Large","Liturgical"
"Classical Arabic","الفصحى","Western Asia","Egypt,
Yemen","","Afro-Asiatic","Hunts Point","Medium","Liturgical"
"Classical Arabic","الفصحى","Western Asia","Egypt,
Yemen","","Afro-Asiatic","Jamaica Hills","Large","Liturgical"
"Classical Arabic","الفصحى","Western Asia","Egypt,
Yemen","","Afro-Asiatic","Sunset Park","Large","Liturgical"
"Classical Armenian","Գրաբար","Western Asia","Armenia","","Indo-European","Murray Hill","Medium","Liturgical"
"Classical Armenian","Գրաբար","Western Asia","Armenia","","Indo-European","Douglaston-Little Neck","Medium","Liturgical"
"Classical Latin","Latina","Southern Europe","Italy","","Indo-European","SoHo","Smallest","Reviving"
"Classical Tibetan","ཆོས་སྐད་","Eastern Asia","China,
India","1,186,710","Sino-Tibetan","DUMBO","Small","Community"
"Classical Tibetan","ཆོས་སྐད་","Eastern Asia","China,
India","1,186,710","Sino-Tibetan","Elmhurst","Medium","Liturgical"
"Colombian Spanish","Español Colombiano","South America","Colombia","49,650,000","Indo-European","Elizabeth (NJ)","Medium","Residential"
"Colombian Spanish","Español Colombiano","South America","Colombia","49,650,000","Indo-European","Elmhurst","Largest","Residential"
"Colombian Spanish","Español Colombiano","South America","Colombia","49,650,000","Indo-European","College Point","Medium","Residential"
"Comorian","Shikomori","Eastern Africa","Comoros","1,100,000","Atlantic-Congo","East Midtown","Smallest","Community"
"Coptic","ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ","Northern Africa","Egypt,
Sudan","","Afro-Asiatic","Jersey City (NJ)","Medium","Liturgical"
"Coptic","ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ","Northern Africa","Egypt,
Sudan","","Afro-Asiatic","Dyker Heights","Small","Liturgical"
"Coptic","ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ","Northern Africa","Egypt,
Sudan","","Afro-Asiatic","Ridgewood","Small","Liturgical"
"Cretan Greek","Κρητική","Southern Europe","Greece","634,930","Indo-European","Astoria","Medium","Residential"
"Crimean Tatar","Qırımtatarca","Eastern Europe","Ukraine,
Turkey,
Uzbekistan","541,540","Turkic","Borough Park","Medium","Residential"
"Croatian","Hrvatski","Southern Europe","Croatia,
Slovenia","6,741,420","Indo-European","Boonton (NJ)","Small","Community"
"Croatian","Hrvatski","Southern Europe","Croatia,
Slovenia","6,741,420","Indo-European","Hell's Kitchen","Small","Community"
"Croatian","Hrvatski","Southern Europe","Croatia,
Slovenia","6,741,420","Indo-European","Astoria","Medium","Residential"
