Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,36.525806,36.525806,30.388781,30.392286,30.392286,6412710902
2022-08-29,30.393860,33.072636,30.119162,32.106956,32.106956,4556181710
2022-09-05,32.108028,35.899521,30.488951,34.965961,34.965961,6140578326
2022-09-12,34.967442,38.870384,30.979143,31.059855,31.059855,7591688578
2022-09-19,31.053614,34.699177,30.195068,32.335361,32.335361,6284267629
2022-09-26,32.336349,35.237244,31.727701,32.055698,32.055698,6425754997
2022-10-03,32.057110,34.457283,31.954931,32.913883,32.913883,4140684780
2022-10-10,32.912937,33.339455,28.197371,30.168840,30.168840,5158841464
2022-10-17,30.168091,31.411192,26.986404,29.270071,29.270071,4949674763
2022-10-24,29.272520,33.739140,28.119305,32.965931,32.965931,7491492198
2022-10-31,32.961021,38.549622,30.294113,32.683582,32.683582,9387911492
2022-11-07,32.678947,33.067505,12.505624,13.164529,13.164529,21337011743
2022-11-14,13.165713,14.969863,12.203308,12.252833,12.252833,4539486900
2022-11-21,12.254122,14.887809,11.010652,14.115767,14.115767,3395956878
2022-11-28,14.113132,14.219450,12.824841,13.718219,13.718219,1824797425
2022-12-05,13.716101,14.322913,13.310491,13.427810,13.427810,1473037036
2022-12-12,13.426751,14.887667,11.987808,12.413120,12.413120,1927678418
2022-12-19,12.415850,12.566923,11.239624,11.387903,11.387903,1197975180
2022-12-26,11.387690,11.453410,8.141268,9.982173,9.982173,2913982701
2023-01-02,9.983222,14.333257,9.845211,14.319933,14.319933,4677450724
2023-01-09,14.325533,24.651987,14.325533,22.873306,22.873306,10476729307
2023-01-16,22.875086,26.410500,20.528950,24.232790,24.232790,9147599889
2023-01-23,24.231546,26.652805,22.397007,26.132387,26.132387,5992120133
2023-01-30,26.135302,26.249315,22.643122,23.493439,23.493439,5246835313
2023-02-06,23.493685,24.148073,19.843344,21.489979,21.489979,3861201571
2023-02-13,21.486788,25.520731,19.870745,24.840752,24.840752,5137435070
2023-02-20,24.846375,26.925581,21.641863,23.256088,23.256088,5387189891
2023-02-27,23.255739,23.367462,20.374146,20.978584,20.978584,2513453214
2023-03-06,20.978413,21.098866,16.117346,20.310532,20.310532,4395498006
2023-03-13,20.310793,22.861988,18.830359,21.903402,21.903402,5435132689
2023-03-20,21.904612,23.831194,20.184853,20.975519,20.975519,4346582767
2023-03-27,20.976086,21.590513,19.508055,20.536976,20.536976,2350052395
2023-04-03,20.536037,21.319178,19.947697,20.299465,20.299465,1808995291
2023-04-10,20.300236,25.461393,20.115707,25.361927,25.361927,5009913998
2023-04-17,25.362480,25.938335,21.067719,21.480139,21.480139,3823275231
2023-04-24,21.479460,23.929724,20.574015,22.832014,22.832014,3176055073
2023-05-01,22.828505,23.222301,21.282700,21.844229,21.844229,2551469061
