Title,Available Globally?,Release Date,Hours Viewed,,
The Queen's Gambit: Limited Series,Yes,2020-10-23,"45,900,000",,
Virgin River: Season 4,Yes,2022-07-20,"45,900,000",,
Gabby's Dollhouse: Season 7,Yes,2023-03-20,"45,800,000",,
A Beautiful Life,Yes,2023-06-01,"45,700,000",,
Peppa Pig: Season 6,No,,"45,700,000",,
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,2023-03-31,"45,600,000",,
Avatar: The Last Airbender: Book 1,No,,"45,500,000",,
Friends (1994): Season 9,No,,"45,400,000",,
Peaky Blinders: Season 2,No,2014-11-14,"45,400,000",,
The Flash (2014): Season 2,No,,"45,400,000",,
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,"45,300,000",,
The Office (U.S.): Season 2,No,,"45,300,000",,
Transatlantic: Limited Series,Yes,2023-04-07,"45,300,000",,
Friends (1994): Season 4,No,,"45,200,000",,
Masha and the Bear: Season 2,No,,"45,100,000",,
Friends (1994): Season 8,No,,"44,900,000",,
The Woman King,No,,"44,900,000",,
Love Island USA: Season 2,No,,"44,800,000",,
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,2021-09-03,"44,700,000",,
The Walking Dead: Season 1,No,,"44,600,000",,
Grey's Anatomy: Season 3,No,,"44,300,000",,
S.W.A.T. (2017): Season 3,No,,"44,200,000",,
Las muñecas de la mafia: Season 1,No,2015-07-01,"44,000,000",,
Lucifer: Season 4,No,2019-05-08,"44,000,000",,
Better Call Saul: Season 5,No,2020-02-24,"43,900,000",,
Teen Wolf (2011): Season 3,No,,"43,900,000",,
Friends (1994): Season 2,No,,"43,800,000",,
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,2023-02-14,"43,800,000",,
PIECES OF HER: Season 1,Yes,2022-03-04,"43,800,000",,
F9: The Fast Saga,No,,"43,700,000",,
The 100: Season 1,No,,"43,600,000",,
The Blacklist: Season 7,No,,"43,500,000",,
Vikings (2013): Season 5,No,,"43,400,000",,
Shameless (U.S.): Season 2,No,,"43,300,000",,
The Office (U.S.): Season 6,No,,"43,300,000",,
El Chema: Season 1,No,,"43,200,000",,
Rosario Tijeras (Mexico): Season 2,No,,"43,200,000",,
Santiago of the Seas: Season 1,No,,"43,200,000",,
Seinfeld: Season 6,Yes,,"43,200,000",,
Inside Man: Season 1,Yes,2022-10-31,"43,100,000",,
The Last Kingdom: Season 4,No,2020-04-26,"42,900,000",,
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,2023-06-23,"42,900,000",,
CoComelon: Season 6,Yes,2022-09-05,"42,800,000",,
Seinfeld: Season 4,Yes,,"42,800,000",,
Valeria: Season 3,Yes,2023-06-02,"42,800,000",,
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,No,,"42,700,000",,
Purple Hearts,Yes,2022-07-29,"42,700,000",,
The Last Kingdom: Season 3,Yes,2018-11-19,"42,700,000",,
Waco: American Apocalypse: Limited Series,Yes,2023-03-22,"42,700,000",,
Gabby's Dollhouse: Season 2,Yes,2021-08-10,"42,600,000",,
Too Hot to Handle: Season 4,Yes,2022-12-07,"42,600,000",,
Guillermo del Toro’s Pinocchio,Yes,2022-12-09,"42,500,000",,
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,2023-02-17,"42,500,000",,
The Crown: Season 1,Yes,2016-11-04,"42,400,000",,
Arrow: Season 1,No,,"42,300,000",,
Blippi's Adventures: Season 1,Yes,,"42,100,000",,
The Good Doctor: Season 4,No,,"42,100,000",,
Lucifer: Season 6,No,2021-09-10,"41,800,000",,
"Pamela, a love story",Yes,2023-01-31,"41,800,000",,
Chor Nikal Ke Bhaga // चोर निकल के भागा,Yes,2023-03-24,"41,700,000",,
Seinfeld: Season 7,Yes,,"41,700,000",,
The Garfield Show: Season 1,No,,"41,500,000",,
Agency: Season 1 // 대행사: 시즌 1,No,,"41,400,000",,
White Chicks,No,,"41,400,000",,
Wellmania: Season 1,Yes,2023-03-29,"41,300,000",,
Seinfeld: Season 3,Yes,,"41,200,000",,
The Creature Cases: Chapter 1,Yes,2022-04-12,"41,200,000",,
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,2022-12-18,"41,100,000",,
Turbo (2013),No,,"41,100,000",,
McGREGOR FOREVER: Limited Series,Yes,2023-05-17,"41,000,000",,
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,"40,900,000",,
Bloodshot (2020),No,,"40,900,000",,
The Flash (2014): Season 8,No,,"40,900,000",,
El Chapo: Season 1,Yes,2017-06-16,"40,600,000",,
Shameless (U.S.): Season 3,No,,"40,600,000",,
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,No,,"40,500,000",,
Jane The Virgin: Season 2,No,,"40,400,000",,
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,No,2021-07-28,"40,400,000",,
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,2022-10-25,"40,300,000",,
Pokémon Journeys: The Series: Season 1,No,,"40,300,000",,
Seinfeld: Season 5,Yes,,"40,300,000",,
Shrek Forever After,No,,"40,300,000",,
