channel,title,published_at,duration,view_count,like_count,comment_count
Tips Official,"Dil Ka Rishta Jukebox - Full Album Songs | Arjun Rampal, Aishwarya, Nadeem Shravan",2015-02-23T07:58:43Z,PT38M33S,20353845,75461,4060
Tips Official,Maine Pyaar Tumhi Se Kiya Hai Lyrical- Phool Aur Kaante | Ajay Devgn & Madhoo | Anuradha & Kumar,2018-10-27T05:53:15Z,PT7M30S,20108352,99075,1743
Tips Official,"Pyar De Pyar Le Lyrical- Genius | Utkarsh Sharma, Ishita | Himesh Reshammiya | Dev Negi, Ikka, Iulia",2018-08-29T08:31:18Z,PT5M37S,19744923,164299,6577
Tips Official,Be Intehaan - Song Video | Race 2 I Saif Ali Khan & Deepika Padukone | Atif & Sunidhi | Pritam,2012-12-12T05:47:08Z,PT2M16S,19717376,75877,3002
Tips Official,Atif Aslam Mashup Full Song Video | DJ Chetas | Bollywood Love Songs,2014-02-25T07:28:00Z,PT4M30S,19609480,187467,3808
Tips Official,"Na Boond | Maarrich | Tusshar Kapoor | Vishal Mishra | Dhruv, Kaushal | Latest Bollywood Song",2022-11-26T06:30:04Z,PT1M52S,18471696,108108,9906
Tips Official,Is this Love - Kismat Konnection | Shahid Kapoor & Vidya Balan | Mohit & Shreya Ghoshal | Pritam,2009-11-25T10:20:57Z,PT5M43S,18086122,141171,4120
Tips Official,Jab Dil Mile Lyrical - Yaadein | Hrithik Roshan & Kareena Kapoor Khan | Anu Malik,2019-01-10T04:30:00Z,PT7M17S,17808183,97639,1799
Tips Official,"Dulhan Hum Le Jayenge - Full Album Songs | Salman, Karisma, Himesh Reshammiya",2014-06-20T06:49:59Z,PT40M50S,17765737,65193,2426
Tips Official,Aankhon Ne Tumhari Full Song - Ishq Vishk | Alka Yagnik & Kumar Sanu | Shahid Kapoor & Amrita Rao,2009-12-08T08:32:36Z,PT4M53S,17266825,82509,2601
Tips Official,"Tumse Milke Lyrical - Parinda | R. D. Burman | Asha Bhosle & Suresh Wadkar | Anil Kapoor, Madhuri",2018-12-24T10:30:08Z,PT5M32S,17253145,104452,2843
Tips Official,"Panditji Ne Haath Mera | Anil Kapoor & Juhi Chawla | Loafer | Udit Narayan, Alka Yagnik | 90's Hit",2011-05-31T11:30:04Z,PT5M26S,17117917,43209,873
Tips Official,"Yeh Dil Deewana Lyrical Video- Pardes |  Sonu Nigam, Hema Sardesai & Shankar Mahadevan",2018-11-02T09:24:43Z,PT7M29S,16768528,159923,3017
Tips Official,Bhoot Police - Trailer | Saif Ali Khan | Arjun Kapoor | Jacqueline Fernandez | Yami Gautam,2021-08-18T05:30:09Z,PT2M49S,16654574,275599,60296
Tips Official,"Darwaza Khula Chod | Juhi Chawla, Ajay Devgan | Alka Yagnik, Ila Arun | Naajayaz | 90's Hindi Song",2011-07-05T12:18:14Z,PT6M55S,16560537,90610,1607
Tips Official,"Maa Sherawaliye Lyrical- Khiladiyon Ka Khiladi | Akshay Kumar, Rekha, Raveena |Sonu Nigam |Anu Malik",2018-10-07T06:35:30Z,PT7M29S,16520458,83522,3343
Tips Official,"Aa Bhi Ja Mere Mehermaan Full Video - Jayantabhai Ki Luv Story | Vivek Oberoi, Neha | Atif Aslam",2013-02-17T10:22:23Z,PT4M29S,16366134,116909,2758
Tips Official,"Qayamat Qayamat - Lyrical | Deewane | Ajay Devgn, Urmila | Sukhwinder Singh, Alka Yagnik |Hindi Hits",2023-02-28T12:30:06Z,PT6M18S,16359151,70807,843
Tips Official,Yeh Ladki Jawan - Kunwara | Govinda & Urmila Matondkar | Kumar Sanu & Alka Yagnik,2010-02-23T11:47:40Z,PT4M33S,16222923,41383,637
Tips Official,"Chitta Kukkad - Wedding Video Song | Loveshhuda | Girish, Navneet | Gippy Grewal",2016-01-25T09:25:51Z,PT3M21S,16101757,95393,1480
Tips Official,"Mubarak Mubarak Lyrical - Haan Maine Bhi Pyaar Kiya Hain | Akshay Kumar, Karisma Kapoor & Abhishek",2020-02-15T04:30:02Z,PT7M4S,16095705,86224,1824
Tips Official,Piya O Re Piya feat. Atif Aslam - Video Song | Tere Naal Love Ho Gaya | Riteish & Genelia,2012-02-03T13:35:02Z,PT3M4S,16068419,112136,3957
Tips Official,"Something Something - Video Song | Feat. Urvashi Sharma | Mika Singh, Bella | Blockbuster Hindi Song",2007-05-25T07:55:37Z,PT3M19S,16054294,99441,3688
Tips Official,"Gawara Nahi | Asim Riaz, Himanshi Khurana | Ankit Tiwari | Bharat Goel |Kunaal Vermaa |Tips Official",2022-07-01T05:30:10Z,PT4M7S,15540579,148471,47867
Tips Official,"Tu Kaun Hai Lyrical |Akshay Kumar, Rekha, Raveena Tandon |Kumar S, Sadhana S |Khiladiyon Ka Khiladi",2021-12-06T10:49:55Z,PT6M52S,15436325,64470,704
Tips Official,"Sabhi Ko Khuda Ki Khudai - Lyrical | Mamta Kulkarni | Rishikesh | Alka Y, Kumar S | Dilbar Songs",2021-03-03T10:00:12Z,PT6M10S,15163319,58121,1073
Tips Official,"Sarki Chunnariya Re Zara Zara | Run | Abhishek Bachchan, Bhoomika Chawla | Alka Yagnik, Udit Narayan",2011-10-12T17:41:17Z,PT5M19S,14786893,73354,1967
Tips Official,Jeth Ki Dopahri Mein | Coolie No. 1 | Govinda & Karisma Kapoor | Kumar Sanu Hits | 90's Hindi Songs,2010-11-03T10:38:16Z,PT4M38S,14750733,38294,1072
Tips Official,"Meri Awargi Lyrical - Good Boy Bad Boy | Tusshar Kapoor,Emraan Hashmi,Isha Sharvani,Tanushree Dutta",2019-05-11T08:30:02Z,PT4M42S,14337136,78577,1289
Tips Official,"Dil Mein Sanam Lyrical - Phir Teri Kahani Yaad Aayee | Alka Yagnik, Kumar Sanu | Rahul Roy, Pooja",2019-05-11T05:30:00Z,PT6M30S,14232074,75881,2181
Tips Official,"Jaan Tere Naam Jukebox - Full Album Songs | Ronit Roy, Farheen, Nadeem Shravan",2015-03-16T05:37:16Z,PT45M40S,14104023,45305,2416
Tips Official,Chot Dil Pe Lagi Full Video - Ishq Vishk | Shahid & Shehnaz | Alisha & Kumar,2009-12-08T10:08:10Z,PT4M33S,14066279,74421,2060
