title,published_at,duration,view_count
Rascal Flatt's tour and Grey's Anatomy,2008-11-17T20:35:15Z,PT4M9S,348262
Philadelphia :),2008-11-17T20:32:42Z,PT4M6S,494173
London!!!,2008-11-17T19:55:46Z,PT4M46S,790933
Behind The Scenes @ CMA Music Festival,2008-09-02T17:53:24Z,PT1M33S,303414
"Taylor And ""Friends""",2008-08-17T22:26:08Z,PT2M17S,999896
MySpace Presents: The Fit Featuring Taylor Swift,2008-06-26T23:02:37Z,PT4M12S,675293
Instructional Video,2008-06-26T22:05:00Z,PT1M6S,621249
My band has bad private plane manners.,2008-06-26T21:58:19Z,PT25S,837052
First fans with my CMT Award.,2008-06-26T21:55:43Z,PT11S,337626
TRL Recap!,2008-06-26T21:15:51Z,PT3M8S,742898
Wannabe,2008-06-26T21:02:39Z,PT3M45S,1217405
:-),2008-06-26T20:51:09Z,PT34S,805812
Should've Said No,2008-06-26T15:47:41Z,PT4M22S,7313288
